fonte;categoria;subcategoria;titulo;preco;url_produto
mercadolivre;smartphone;iphone;iPhone 18 Pro de 512 GB — Preto - Distribuidor Autorizado;12149;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=bLGwaZ3Rgbtw32QTKd6k761DYMKx7d8cL%2FNTEGCVd7REi4WCI0f7mgZ%2BsVHJkRA8xYVmYNC9R%2FcBOslgz%2By6loGDeWnZv79qX879wziMHDKGsNrpB4fCAZJvXSUFXbAGOgLQquim7NZ6G7GBZrFv8Houlgb3CjTbRojDQXSQetU1zlz%2FU%2FbnZvf2qujEZY3PpKeSJ9SbS5MYLPzQmZkS%2FagubYYV0owxUgqBCHzNeY4%2Bj2zt9qgHhs8m4vRT3B5666Yjve3BFzY82egvKtd%2FlzWis6c10jv66%2B7AbdY7mmG7cSinJjeK0FSuQNXQxdWkkl7OBtDnA0KApnMCexVCIjPy56YC7PrrVgk1pW8j4z4m%2FbTn1vNKmJNAcJtAEm0RiGIC4XZ75belTsFu9rGxwow5itp5vOxxPDnd%2BsVZOl8tXLQhWFp0vXxKpv6wYYp03iXXuBZRrogWf3Y6of6k7hc3lXmbygsEnbQo4uUkbaiaMaIyG078O%2BTm8r6pubNOi0FINRMwbxeCWadOWqZIgbHW1dxEeVCz6QCXkfy2vghdVF49jvczN1v0yhsg3wIfZfwoDRcc6PkQDAzQV9Ellv8O1zJb1HNN%2BBAxIvWMkW51RtGqwXo%2BSiG4qGLkc4nOtDkcOci89%2F59QeBUlkYFuidTcD8tU%2BTQ1uwUjY5%2B61rlbkqv6YLdcewB%2FvI%2BBgo7EvT0cXPfoAg3RqmvZhxd6s2Y%2BSSv%2Fvdt38cyGfr0olLHmuGCEV%2B7Naht%2FrEblCPlQvPOHfv%2FgHtxLst7ARzsM3o4hXbBVxyiJpczSuC700wuA%2B29K%2FD6G5BqxDxXyU98E5h88QT0GsWBS8%2BLfri8BB0eQpontPXYHPDHAySAY8cG%2B7T3hxxvONMkFFHmVSmhegG5JIeYkq%2FE%2BLDJpAaqf95IJLeOQT8zd2QMZutgsb2dcZvLqApqHtezx9WnsjMhgq%2FSXWQH1vB2Nb0JliTIIWmF5Q%3D%3D&pdp_filters=item_id%3AMLB7616019070#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB1077855525&backend_model=search-backend&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=1&type=pad&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB7616019070&sid=search
mercadolivre;smartphone;iphone;iPhone 18 Pro Max 512GB Glacial - Distribuidor Autorizado;13049;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=n8TpiJ%2BTU7glFQmIGYSYFsurbXh4GfY4SHE6Z8%2FwuohsbRbt0C%2Bq5GclVO1veaNpoE78WjA%2BTuR2H1Fjt3zQQH%2FloJHnstYYBxohPw3P11sX5Egz8TtK%2BZBHJSIjrNnyCgGTJkiGROE0Ekz2qJeNWWMOGJlrbS0Oe8G9NQu3sgi%2BXTbzroxwMvwDEHpW%2Fxbya77ygrlJa%2BnkDK2fJP2vrfF3ZoTA4c7aM7uqavyMoeTtAFPP5P3Rb64rTgHMFtqknTzYUlvCvt4TrUItn6EIewIzmnSI8RLA7asPRBQkJ54Os0ULKp%2BCRV%2BoyZCuj4WEM77sUwiwXDVKKvXNQ6l5meMNWrB6Kp%2FwcyjTE4oT4kn9g%2FRoKl3W0LChloTYxOHr17%2B5r1qAnjBe8Adi2zVjQt7wHHqki34tf7dvrRcPRXF7FYRJOtpqiEKG21bwxffjDl%2Frpimv2MKdlIcgaZFYkXkTDyp6wCb4iLa1JrskiA8HVZ8%2BLsZKc1V7Ql%2BipL4qAfEFFKsLdfdekm%2BnYoPHfZWPqQiePv4fvKiVFRmNnxrIFdQ%2BeVDHXTqRUrejMmow%2FGA4OEdMNvZ0PtOYwSEGQ5W8AK7DKUqGKwiw9LbbBPXF60wC4l3CVQZY7f40LSmlwwQS6Wf2FStIkxcMRPCfE4IrQWJZv6WSyKHGklr%2FVa8qn9S0xGqFTT6%2B8v%2Blo6Ce75kf8KLJp8iVwR%2F0iqaW02EPpu547y2GLLmIuZT86PjDKfAonofi%2BjXG2AmuODNXMpgTACJyTsnnwBvn58be4g3x5G6FTOC8EDB31UzVzMmCygJqqluattJYykJIuhM%2BpHdZ7Iq0G8N7X%2BO2yBzRQvbC%2B%2FTlAH2DfMgZtD9Q2Y4WnkqvnJiv6GEy9SHsj%2BD5iFir40IiKq80eFHlphEsuZIh%2FaOwKEaRsCZ0%2FlZYc4elIJCaQ9f%2FQe2VsP4QREJ4sFS9NGrZUofMSXo9TbdKp%2FIxijLwkQ%3D%3D&pdp_filters=item_id%3AMLB5215006929#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB1077855627&backend_model=search-backend&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=2&type=pad&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB5215006929&sid=search
mercadolivre;smartphone;iphone;Apple iPhone 15 (128 GB) - Azul - Distribuidor Autorizado;4299;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=k5mAUR4X1WSpuCxORzt7QDB1enzWPduKEUdG9qGIA5ojHfRlXHcFf6MsizjhnIaOKY%2BBgZD79T437mO7gzvseOUE4raBf09SINa2euuJib9zXHO7MhBPXXmIeGryWVGTszXutp5SBIq94p3sw4c3OS5GcI6UadxM4fZDGqHTBI4DVjr2buat73GXKFSHkCuKLuw%2BfspX4JS4KfSC5WECdpdYDwxJC0%2BSbuT3n0%2FTEieIrFyFhw1FhhyJYoKuwh7i3yUOm3Dd%2FzzPRhf%2BLkVbup8LBPKPeh%2FQhQZ%2F5cJZh5VmX34dkIJG8IQmF67ok0X8FareujjS6FPl20l5KRH3QQh1SpPLc%2FPa9h7tfpRv%2BuYrQO1CxdbD4s7nEx9a5GOMYsTHhNisjf%2FEUPPDHNa10nIU7mfV%2FT8n3t9kQcjxbqLyP4NjB3oTZszUMskVtCe5qPr058mck%2BempruFBFXHqfjaCDKfG%2FIu02ERnMYVFQWrQTWDai%2FvQvtC5XJP53JLyB8NeRi7w%2FjUgHdv7Y3XiFs73JHWizA9M9zMkG81rwKURmfsqt0FKza3YGUQDNS%2BsjqULKo5yFOHAMFbZIMua8OQwLeyv8EbU2GG15vZdCwzgC5AymzN9EJV4j413ItOdawbGrUrTqIXzPpPO3Ed%2Bkrsvl0M3S9nUecv5bDh00UZgDDNZ%2Bg%2BQVO0n4dVu1IxpnM8puHSKiOTYdowKM%2BtWVSmteQV61vxybGFwla3aG8T26rlJ0C3oPED6%2B%2BBmlKeSyr8a5CWtVQFKpcAzXzNjaWB9fFcjLddS5I5%2FxzFbGpMYyZivuE%2FAbmQWsTPHUMQFljAJdTbZQ7PkE7I3g8aXli1M%2BjMS6eGpFqVrBIZRTUs5b3nzXB6S4fGSIcdXROm6qtAleFxAhB0mGcB136dDSDtD%2BnX507BAyXf9cyYn85NQ87PKEF7jy7RYMR52dhnG70xr0XPUJvEmWxpw3WwveESKA%3D%3D&pdp_filters=item_id%3AMLB4408547152#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB1027172667&backend_model=search-backend&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=3&type=pad&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB4408547152&sid=search
mercadolivre;smartphone;iphone;iPhone 17 Pro Max 256GB - Prateado - Distribuidor Autorizado;8781;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=G%2BLtsw7AOsN4nNozvrx%2Brzo08sJzG%2FWsttOc2SWrvQ3ynxIsFkahOfnGyjBYxFbBait%2FrXFiBZ35gK36EP8fh6drK4igPdTZCztd%2FquD6nJUy%2BRFhHcGjKhDdXjgJVyKDkDYyrQak1f533NJxlNpMjjfXB%2FS%2Brlot5Vv1zQkBavyHX%2F84IC7C0nBRXdyFaueYj2OuQJzEh4vbiK11XsYopQA8QvSvSUFZDAgfiCNlPChPyHik54GoHmv%2B%2FLy4%2FK6BNWBAsVQxJSFTOd4ifndnshAErryRD%2F8XfA5JnW7Dp10dCsMTVyp%2Bker5FTueO0obsivXjbyeh6V7oMAFNO8hcJd0TLQde6DN%2BQybkJTVqIQPH8u%2BT%2BtHfKaDXcS4zhs6Wcoy0Mxbjv46QXdmjqwIJO9ufG6TUnq1VAua25FHq8OkByHq0Va20n%2F40ZkknVNESTsHyICRwWUx9yLF0giPq5%2BSlRYiu2Cx7%2BToQAJ9l5CvBuOC6ZaZRQAiD9jVHq7Fslm5%2BwYcw%2FrZ6shDaxhi9JmON05WRxx2S7g8HTYQTYSWlsa9B%2Fpq879WIfbuGCqh5SNrreKhc7uLtJihNMMI6FhONuFdBz4db5Aq7%2FuvqDZ7SjGqAW8OnIRkErxBTCYhj4YbYMwLzkRe7p%2BizeFB2BARhgkRLIrib3QQNfKnK2cujwfwHr%2B98Gc2RiulH7IoQy77%2Bm5PyYEjJHAiPCC7lpCVw1iHlw8aVIRpEQ0wVwfRpAGC4tVp3mrRh3uIZneoc5L508T4PcnqapWKYY0fHiBWMqpn7VFCQrR7OTY7paUfupF%2BQKQ7gvZZgG2V3SX3wGu20O3%2FYXGiz%2B3xsLZY15mYs3CGI%2BiiCN7q8%2B68ADPmmob3s7%2BHVu8F3RUSPATmYJc119fTXl0JVbSwiRNfo6Xu%2BGv%2BKheXfRmtqjkAmzALmaRX2a1iu4JPNyyb88rjfzv8M2Yz3RetZeRfDZHgbck1THY%2BA%3D%3D&pdp_filters=item_id%3AMLB5687309408#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB1055308605&backend_model=search-backend&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=4&type=pad&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB5687309408&sid=search
mercadolivre;smartphone;iphone;iPhone 16e (128 GB) - Preto - Distribuidor Autorizado;3509;https://www.mercadolivre.com.br/iphone-16e-128-gb-preto-distribuidor-autorizado/p/MLB1046215784#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=5&type=product&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB3986439067&sid=search
mercadolivre;smartphone;iphone;Apple iPhone 16 (128 GB) - Ultramarine - Distribuidor Autorizado;4499;https://www.mercadolivre.com.br/apple-iphone-16-128-gb-ultramarine-distribuidor-autorizado/p/MLB1040287800#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=6&type=product&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB5120559422&sid=search
mercadolivre;smartphone;iphone;iPhone 17e 256GB Rosa-palido - Distribuidor Autorizado;4229;https://www.mercadolivre.com.br/iphone-17e-256gb-rosa-palido-distribuidor-autorizado/p/MLB1066130043#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=7&type=product&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB6844711882&sid=search
mercadolivre;smartphone;iphone;Apple iPhone 16 (256 GB) - Rosa - Distribuidor Autorizado;5000;https://www.mercadolivre.com.br/apple-iphone-16-256-gb-rosa-distribuidor-autorizado/p/MLB1040287790#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=8&type=product&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB5217693736&sid=search
mercadolivre;smartphone;iphone;iPhone 17 512 GB - Branco - Distribuidor Autorizado;6096;https://www.mercadolivre.com.br/iphone-17-512gb-branco-distribuidor-autorizado/p/MLB1055309039#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=9&type=product&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB6543943108&sid=search
mercadolivre;smartphone;iphone;iPhone 17 256 GB - Sálvia - Distribuidor Autorizado;5598;https://www.mercadolivre.com.br/iphone-17-256gb-salvia-distribuidor-autorizado/p/MLB1055308843#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=10&type=product&tracking_id=1794fa04-bae6-48ea-a7c3-2ccbc4f420f6&wid=MLB6545162768&sid=search
